stim_angle,stim_laterality,stim_view,stim_timing,stim_file,stim_correct_key
270,left,dorsal,0.1200000000000001,stimuli/left_dorsal.png,s
90,left,dorsal,1.68,stimuli/left_dorsal.png,s
180,left,palmar,1.26,stimuli/left_palmar.png,s
270,right,dorsal,0.30000000000000004,stimuli/right_dorsal.png,l
0,left,dorsal,1.22,stimuli/left_dorsal.png,s
180,left,palmar,1.58,stimuli/left_palmar.png,s
180,right,dorsal,1.44,stimuli/right_dorsal.png,l
270,right,dorsal,0.040000000000000036,stimuli/right_dorsal.png,l
270,left,palmar,0.8,stimuli/left_palmar.png,s
90,right,palmar,1.1,stimuli/right_palmar.png,l
90,right,palmar,0.6200000000000001,stimuli/right_palmar.png,l
180,right,palmar,0.94,stimuli/right_palmar.png,l
